epoch,accuracy,loss,val_accuracy,val_loss
0,0.3469991981983185,1.7411129474639893,0.3850654661655426,1.6691486835479736
1,0.4416384994983673,1.489426851272583,0.41571468114852905,1.6007083654403687
2,0.4808945059776306,1.382436990737915,0.4710225760936737,1.4127110242843628
3,0.5035703182220459,1.3173236846923828,0.5319030284881592,1.2648894786834717
4,0.5194190144538879,1.276947259902954,0.5189467668533325,1.3020585775375366
5,0.5320282578468323,1.2437021732330322,0.5441626906394958,1.2566704750061035
6,0.5418509840965271,1.2154884338378906,0.5718863010406494,1.177546739578247
7,0.5509073734283447,1.193771481513977,0.5608804821968079,1.1781953573226929
8,0.5593019723892212,1.1746395826339722,0.5601838827133179,1.1710985898971558
9,0.5636908411979675,1.1591072082519531,0.570214569568634,1.1885114908218384
10,0.5697516202926636,1.1392359733581543,0.5671496391296387,1.1658236980438232
11,0.5754293203353882,1.1325762271881104,0.5787127614021301,1.142656683921814
